Fecha,Productos,Ingreso,Tienda,Ventas
01/01/2019,19,8936,1,6
02/01/2019,43,8765,1,46
03/01/2019,30,8235,1,76
04/01/2019,33,8556,1,14
05/01/2019,23,7511,1,42
06/01/2019,21,5263,1,48
07/01/2019,29,8771,1,78
08/01/2019,16,8551,1,76
09/01/2019,20,6471,1,20
10/01/2019,35,9349,1,65
11/01/2019,25,7325,1,32
12/01/2019,31,7801,1,55
13/01/2019,44,7655,1,96
14/01/2019,26,8150,1,77
15/01/2019,50,8289,1,100
16/01/2019,37,8535,1,33
17/01/2019,24,5109,1,11
18/01/2019,28,9773,1,6
19/01/2019,42,9372,1,31
20/01/2019,39,8898,1,10
21/01/2019,15,5578,1,47
22/01/2019,20,8717,1,33
23/01/2019,33,8763,1,52
24/01/2019,39,9335,1,17
25/01/2019,30,6797,1,73
26/01/2019,27,8246,1,46
27/01/2019,21,8723,1,34
28/01/2019,38,8543,1,61
29/01/2019,28,6562,1,19
30/01/2019,32,7511,1,31
31/01/2019,48,5945,1,83
01/02/2019,25,6365,1,18
02/02/2019,47,7927,1,17
03/02/2019,50,6345,1,20
04/02/2019,38,5918,1,89
05/02/2019,30,6775,1,51
06/02/2019,20,6268,1,75
07/02/2019,38,5369,1,54
08/02/2019,28,7723,1,94
09/02/2019,32,7984,1,11
10/02/2019,49,5695,1,8
11/02/2019,42,8576,1,95
12/02/2019,41,5860,1,17
13/02/2019,24,8003,1,31
14/02/2019,24,9257,1,39
15/02/2019,19,5931,1,46
16/02/2019,27,5386,1,27
17/02/2019,29,6675,1,100
18/02/2019,47,7105,1,53
19/02/2019,29,9093,1,94
20/02/2019,41,8963,1,7
21/02/2019,23,8463,1,13
22/02/2019,29,8338,1,44
23/02/2019,17,7438,1,98
24/02/2019,48,8593,1,11
25/02/2019,29,8546,1,65
26/02/2019,38,7816,1,31
27/02/2019,21,6583,1,41
28/02/2019,29,9198,1,56
01/03/2019,31,7230,1,35
02/03/2019,48,5713,1,83
03/03/2019,28,8736,1,9
04/03/2019,39,6102,1,20
05/03/2019,33,5210,1,97
06/03/2019,46,5862,1,36
07/03/2019,39,9234,1,85
08/03/2019,37,7463,1,50
09/03/2019,41,5717,1,29
10/03/2019,49,7182,1,79
11/03/2019,28,7472,1,43
12/03/2019,44,9287,1,49
13/03/2019,33,8800,1,92
14/03/2019,43,8669,1,38
15/03/2019,34,9572,1,62
16/03/2019,48,6329,1,30
17/03/2019,32,7818,1,22
18/03/2019,46,9565,1,70
19/03/2019,40,8508,1,70
20/03/2019,50,7024,1,100
21/03/2019,23,8978,1,4
22/03/2019,48,9286,1,24
23/03/2019,38,5486,1,71
24/03/2019,28,5260,1,43
25/03/2019,47,5656,1,80
26/03/2019,24,7989,1,14
27/03/2019,25,7747,1,75
28/03/2019,23,8270,1,23
29/03/2019,35,8502,1,9
30/03/2019,16,8392,1,50
31/03/2019,47,7437,1,74
01/04/2019,41,9595,1,28
02/04/2019,26,6627,1,28
03/04/2019,22,5884,1,67
04/04/2019,46,5068,1,95
05/04/2019,28,9057,1,10
06/04/2019,47,9020,1,90
07/04/2019,32,9026,1,100
08/04/2019,38,6374,1,58
09/04/2019,25,8207,1,60
10/04/2019,33,6250,1,93
11/04/2019,38,6889,1,33
12/04/2019,21,5746,1,11
13/04/2019,19,5079,1,51
14/04/2019,44,6282,1,58
15/04/2019,15,7994,1,77
16/04/2019,40,8684,1,41
17/04/2019,23,6727,1,51
18/04/2019,16,9845,1,24
19/04/2019,25,6538,1,54
20/04/2019,21,8323,1,73
21/04/2019,36,5069,1,25
22/04/2019,16,7147,1,67
23/04/2019,17,9658,1,49
24/04/2019,46,7820,1,17
25/04/2019,15,9741,1,79
26/04/2019,25,8552,1,1
27/04/2019,25,7373,1,20
28/04/2019,16,6278,1,14
29/04/2019,24,5926,1,11
30/04/2019,27,6622,1,54
01/05/2019,39,8336,1,33
02/05/2019,37,8065,1,76
03/05/2019,29,9128,1,35
04/05/2019,23,9127,1,18
05/05/2019,26,7023,1,9
06/05/2019,44,7665,1,46
07/05/2019,47,7426,1,53
08/05/2019,22,6043,1,50
09/05/2019,48,5348,1,38
10/05/2019,25,8246,1,4
11/05/2019,28,7054,1,52
12/05/2019,43,6026,1,56
13/05/2019,44,9487,1,81
14/05/2019,23,5880,1,92
15/05/2019,36,6425,1,98
16/05/2019,15,6275,1,25
17/05/2019,21,5536,1,72
18/05/2019,29,7203,1,7
19/05/2019,19,8496,1,73
20/05/2019,31,6465,1,19
21/05/2019,32,6297,1,22
22/05/2019,49,6443,1,27
23/05/2019,48,8648,1,14
24/05/2019,38,6583,1,27
25/05/2019,41,6875,1,42
26/05/2019,41,7919,1,63
27/05/2019,35,5070,1,28
28/05/2019,42,7772,1,45
29/05/2019,29,9779,1,14
30/05/2019,46,8380,1,45
31/05/2019,27,5985,1,67
01/06/2019,49,8940,1,25
02/06/2019,37,7825,1,90
03/06/2019,29,6839,1,41
04/06/2019,48,8511,1,24
05/06/2019,34,9796,1,54
06/06/2019,33,7976,1,38
07/06/2019,28,9587,1,59
08/06/2019,17,6707,1,82
09/06/2019,42,5470,1,97
10/06/2019,33,9057,1,89
11/06/2019,41,8826,1,60
12/06/2019,37,5039,1,54
13/06/2019,34,6295,1,78
14/06/2019,31,6092,1,1
15/06/2019,29,5286,1,59
16/06/2019,32,5020,1,43
17/06/2019,44,5361,1,32
18/06/2019,35,7652,1,78
19/06/2019,26,6940,1,51
20/06/2019,27,9943,1,70
21/06/2019,32,6871,1,98
22/06/2019,45,8292,1,36
23/06/2019,32,6812,1,53
24/06/2019,39,7811,1,37
25/06/2019,25,7210,1,82
26/06/2019,36,9461,1,10
27/06/2019,46,5519,1,73
28/06/2019,25,5827,1,30
29/06/2019,17,8920,1,60
30/06/2019,19,8973,1,6
01/07/2019,49,9245,1,58
02/07/2019,35,8227,1,55
03/07/2019,44,8262,1,77
04/07/2019,20,8242,1,0
05/07/2019,44,8727,1,50
06/07/2019,43,6679,1,38
07/07/2019,49,8799,1,93
08/07/2019,45,6077,1,43
09/07/2019,45,9802,1,98
10/07/2019,24,7460,1,96
11/07/2019,40,6190,1,90
12/07/2019,42,5405,1,100
13/07/2019,26,5087,1,83
14/07/2019,42,9851,1,23
15/07/2019,47,8283,1,9
16/07/2019,30,5927,1,8
17/07/2019,24,5956,1,51
18/07/2019,37,9733,1,83
19/07/2019,24,5395,1,30
20/07/2019,21,8208,1,4
21/07/2019,21,5205,1,30
22/07/2019,24,6449,1,47
23/07/2019,33,7541,1,68
24/07/2019,20,5477,1,29
